year,gwangju,daegu,daejeon,busan,seoul,ulsan,incheon,jeju,avg,type
2004,3/17,3/16,3/26,3/18,3/25,3/16,3/28,3/13,3/19,forsythia
2005,3/28,3/21,4/4,3/21,4/6,3/25,4/10,3/21,3/28,forsythia
2006,3/14,3/10,3/24,3/11,3/28,3/11,4/1,3/8,3/17,forsythia
2007,3/14,3/8,3/21,3/12,3/23,3/13,3/30,3/14,3/16,forsythia
2008,3/20,3/19,3/22,3/18,3/23,3/19,3/31,3/20,3/21,forsythia
2009,3/13,3/16,3/20,3/9,3/20,3/11,3/24,3/10,3/15,forsythia
2010,3/14,3/19,3/31,3/14,3/27,3/20,3/30,3/12,3/20,forsythia
2011,3/28,3/15,4/4,3/19,4/5,3/19,4/12,3/11,3/25,forsythia
2012,3/29,3/19,3/30,3/24,4/4,3/26,4/5,3/29,3/28,forsythia
2013,3/18,3/14,3/26,3/12,4/3,3/11,4/8,3/13,3/20,forsythia
2014,3/16,3/16,3/21,3/6,3/25,3/17,3/27,3/13,3/17,forsythia
2015,3/20,3/19,3/24,3/20,3/25,3/20,4/5,3/19,3/22,forsythia
2016,3/18,3/19,3/28,3/17,3/26,3/17,3/27,3/12,3/20,forsythia
2017,3/21,3/17,3/29,3/23,3/30,3/17,3/31,3/22,3/23,forsythia
2018,3/17,3/20,3/27,3/15,3/27,3/18,3/30,3/14,3/21,forsythia
2019,3/16,3/13,3/26,3/16,3/21,3/18,3/25,3/18,3/19,forsythia
2020,3/15,3/12,3/19,3/18,3/22,3/16,3/22,3/16,3/17,forsythia
2021,3/12,3/13,3/18,3/13,3/19,3/19,3/23,2/27,3/14,forsythia
2022,3/14,3/19,3/27,3/23,3/30,3/26,3/31,3/17,3/23,forsythia
2023,3/13,3/12,3/17,3/14,3/22,3/16,3/24,3/13,3/16,forsythia
2024,3/17,3/16,3/20,3/21,3/24,3/24,3/31,3/12,3/20,forsythia
1980,4/2,3/27,4/1,3/26,4/1,3/29,4/5,4/10,4/1,azalea
1981,3/27,4/2,4/1,3/21,4/6,3/23,4/4,4/6,3/30,azalea
1982,3/22,3/11,3/28,3/13,3/30,3/20,3/31,4/1,3/23,azalea
1983,3/28,3/26,3/26,3/21,3/30,3/24,3/30,4/6,3/27,azalea
1984,4/8,4/8,4/9,4/6,4/10,4/7,4/14,4/8,4/8,azalea
1985,3/28,4/2,4/6,3/26,4/3,3/30,4/10,4/17,4/3,azalea
1986,3/28,4/2,4/7,3/24,4/4,3/26,4/9,4/17,4/3,azalea
1987,3/23,4/5,4/2,3/14,4/5,3/17,4/7,4/12,3/30,azalea
1988,4/1,4/2,4/5,3/22,4/1,3/25,4/8,4/20,4/2,azalea
1989,3/22,3/27,3/24,2/25,3/21,3/11,3/28,3/24,3/19,azalea
1990,3/22,3/21,3/22,3/12,3/23,3/15,3/29,3/24,3/21,azalea
1991,4/3,4/3,4/6,3/13,4/7,4/1,4/9,x,4/1,azalea
1992,3/22,3/25,3/25,3/18,3/20,3/20,3/27,4/7,3/24,azalea
1993,3/26,3/27,4/1,3/15,3/31,3/24,4/3,4/12,3/29,azalea
1994,4/1,3/23,4/3,3/15,3/31,3/19,4/7,3/24,3/27,azalea
1995,3/23,3/30,3/30,3/17,3/28,3/24,3/31,4/3,3/27,azalea
1996,4/3,4/4,4/8,3/31,4/5,3/28,4/17,4/9,4/5,azalea
1997,3/25,3/22,3/29,3/18,3/19,3/15,4/7,3/25,3/23,azalea
1998,3/19,3/22,3/25,3/11,3/9,3/14,3/25,3/10,3/16,azalea
1999,3/20,3/20,3/20,3/28,3/30,3/17,4/1,3/22,3/23,azalea
2000,3/29,3/28,4/2,3/31,4/3,3/25,4/3,3/27,3/30,azalea
2001,4/2,3/25,4/1,3/26,4/9,3/23,4/9,3/31,3/31,azalea
2002,3/22,3/12,3/23,3/12,3/20,3/10,3/29,3/28,3/19,azalea
2003,3/29,3/18,3/24,3/18,3/29,3/28,4/2,3/31,3/26,azalea
2004,3/24,3/17,3/26,3/22,3/27,3/15,3/29,3/13,3/21,azalea
2005,3/28,3/25,4/6,4/2,4/7,3/28,4/11,4/3,4/2,azalea
2006,3/30,3/22,3/27,3/10,4/1,3/9,4/7,3/25,3/24,azalea
2007,3/26,3/17,3/22,3/17,3/20,3/3,4/5,3/16,3/19,azalea
2008,3/28,3/22,3/22,3/21,3/23,3/15,4/8,3/25,3/24,azalea
2009,3/19,3/19,3/20,3/17,3/21,3/9,4/5,4/1,3/21,azalea
2010,3/25,4/2,3/31,3/18,4/2,3/20,4/8,3/21,3/27,azalea
2011,4/5,3/23,4/7,3/27,4/6,3/23,4/17,4/11,4/3,azalea
2012,4/5,3/22,4/9,3/21,4/8,3/22,4/12,3/28,3/31,azalea
2013,3/25,3/17,4/2,3/12,4/5,3/7,4/17,3/6,3/23,azalea
2014,3/25,3/17,3/24,3/6,3/23,3/14,3/28,3/14,3/18,azalea
2015,3/23,3/21,3/27,3/23,3/25,3/19,3/27,3/21,3/23,azalea
2016,3/28,3/19,3/25,3/29,3/26,3/14,3/27,3/15,3/22,azalea
2017,3/27,3/17,3/24,3/24,3/29,3/20,3/26,3/22,3/23,azalea
2018,3/26,3/22,3/27,3/20,3/27,3/22,3/26,3/18,3/23,azalea
2019,3/26,3/19,3/26,3/18,3/21,3/18,3/22,x,3/21,azalea
2020,3/21,3/11,3/16,3/15,3/11,3/17,3/12,3/3,3/13,azalea
2021,3/18,3/15,3/16,3/11,3/16,3/16,3/18,2/24,3/13,azalea
2022,3/24,3/21,3/24,3/27,3/26,3/30,3/30,3/11,3/24,azalea
2023,3/21,3/15,3/16,3/17,3/19,3/18,3/22,x,3/18,azalea
2024,3/23,3/24,3/17,x,3/15,3/18,3/20,3/22,3/19,azalea
